ID,t2,anatomy
ProstateX-0112,PROSTATEx/images/ProstateX-0112.nii.gz,PROSTATEx/anatomy/ProstateX-0112.nii.gz
ProstateX-0002,PROSTATEx/images/ProstateX-0002.nii.gz,PROSTATEx/anatomy/ProstateX-0002.nii.gz
ProstateX-0077,PROSTATEx/images/ProstateX-0077.nii.gz,PROSTATEx/anatomy/ProstateX-0077.nii.gz
ProstateX-0046,PROSTATEx/images/ProstateX-0046.nii.gz,PROSTATEx/anatomy/ProstateX-0046.nii.gz
ProstateX-0117,PROSTATEx/images/ProstateX-0117.nii.gz,PROSTATEx/anatomy/ProstateX-0117.nii.gz
ProstateX-0145,PROSTATEx/images/ProstateX-0145.nii.gz,PROSTATEx/anatomy/ProstateX-0145.nii.gz
ProstateX-0085,PROSTATEx/images/ProstateX-0085.nii.gz,PROSTATEx/anatomy/ProstateX-0085.nii.gz
ProstateX-0137,PROSTATEx/images/ProstateX-0137.nii.gz,PROSTATEx/anatomy/ProstateX-0137.nii.gz
ProstateX-0036,PROSTATEx/images/ProstateX-0036.nii.gz,PROSTATEx/anatomy/ProstateX-0036.nii.gz
ProstateX-0109,PROSTATEx/images/ProstateX-0109.nii.gz,PROSTATEx/anatomy/ProstateX-0109.nii.gz
ProstateX-0061,PROSTATEx/images/ProstateX-0061.nii.gz,PROSTATEx/anatomy/ProstateX-0061.nii.gz
ProstateX-0022,PROSTATEx/images/ProstateX-0022.nii.gz,PROSTATEx/anatomy/ProstateX-0022.nii.gz
ProstateX-0164,PROSTATEx/images/ProstateX-0164.nii.gz,PROSTATEx/anatomy/ProstateX-0164.nii.gz
ProstateX-0195,PROSTATEx/images/ProstateX-0195.nii.gz,PROSTATEx/anatomy/ProstateX-0195.nii.gz
ProstateX-0033,PROSTATEx/images/ProstateX-0033.nii.gz,PROSTATEx/anatomy/ProstateX-0033.nii.gz
ProstateX-0011,PROSTATEx/images/ProstateX-0011.nii.gz,PROSTATEx/anatomy/ProstateX-0011.nii.gz
ProstateX-0198,PROSTATEx/images/ProstateX-0198.nii.gz,PROSTATEx/anatomy/ProstateX-0198.nii.gz
ProstateX-0162,PROSTATEx/images/ProstateX-0162.nii.gz,PROSTATEx/anatomy/ProstateX-0162.nii.gz
ProstateX-0006,PROSTATEx/images/ProstateX-0006.nii.gz,PROSTATEx/anatomy/ProstateX-0006.nii.gz
ProstateX-0027,PROSTATEx/images/ProstateX-0027.nii.gz,PROSTATEx/anatomy/ProstateX-0027.nii.gz
ProstateX-0194,PROSTATEx/images/ProstateX-0194.nii.gz,PROSTATEx/anatomy/ProstateX-0194.nii.gz
ProstateX-0004,PROSTATEx/images/ProstateX-0004.nii.gz,PROSTATEx/anatomy/ProstateX-0004.nii.gz
ProstateX-0032,PROSTATEx/images/ProstateX-0032.nii.gz,PROSTATEx/anatomy/ProstateX-0032.nii.gz
ProstateX-0104,PROSTATEx/images/ProstateX-0104.nii.gz,PROSTATEx/anatomy/ProstateX-0104.nii.gz
ProstateX-0148,PROSTATEx/images/ProstateX-0148.nii.gz,PROSTATEx/anatomy/ProstateX-0148.nii.gz
ProstateX-0166,PROSTATEx/images/ProstateX-0166.nii.gz,PROSTATEx/anatomy/ProstateX-0166.nii.gz
ProstateX-0147,PROSTATEx/images/ProstateX-0147.nii.gz,PROSTATEx/anatomy/ProstateX-0147.nii.gz
ProstateX-0010,PROSTATEx/images/ProstateX-0010.nii.gz,PROSTATEx/anatomy/ProstateX-0010.nii.gz
ProstateX-0062,PROSTATEx/images/ProstateX-0062.nii.gz,PROSTATEx/anatomy/ProstateX-0062.nii.gz
ProstateX-0113,PROSTATEx/images/ProstateX-0113.nii.gz,PROSTATEx/anatomy/ProstateX-0113.nii.gz
ProstateX-0186,PROSTATEx/images/ProstateX-0186.nii.gz,PROSTATEx/anatomy/ProstateX-0186.nii.gz
ProstateX-0172,PROSTATEx/images/ProstateX-0172.nii.gz,PROSTATEx/anatomy/ProstateX-0172.nii.gz
ProstateX-0000,PROSTATEx/images/ProstateX-0000.nii.gz,PROSTATEx/anatomy/ProstateX-0000.nii.gz
ProstateX-0183,PROSTATEx/images/ProstateX-0183.nii.gz,PROSTATEx/anatomy/ProstateX-0183.nii.gz
ProstateX-0156,PROSTATEx/images/ProstateX-0156.nii.gz,PROSTATEx/anatomy/ProstateX-0156.nii.gz
ProstateX-0070,PROSTATEx/images/ProstateX-0070.nii.gz,PROSTATEx/anatomy/ProstateX-0070.nii.gz
ProstateX-0126,PROSTATEx/images/ProstateX-0126.nii.gz,PROSTATEx/anatomy/ProstateX-0126.nii.gz
ProstateX-0064,PROSTATEx/images/ProstateX-0064.nii.gz,PROSTATEx/anatomy/ProstateX-0064.nii.gz
ProstateX-0044,PROSTATEx/images/ProstateX-0044.nii.gz,PROSTATEx/anatomy/ProstateX-0044.nii.gz
ProstateX-0142,PROSTATEx/images/ProstateX-0142.nii.gz,PROSTATEx/anatomy/ProstateX-0142.nii.gz
ProstateX-0028,PROSTATEx/images/ProstateX-0028.nii.gz,PROSTATEx/anatomy/ProstateX-0028.nii.gz
ProstateX-0040,PROSTATEx/images/ProstateX-0040.nii.gz,PROSTATEx/anatomy/ProstateX-0040.nii.gz
ProstateX-0108,PROSTATEx/images/ProstateX-0108.nii.gz,PROSTATEx/anatomy/ProstateX-0108.nii.gz
ProstateX-0125,PROSTATEx/images/ProstateX-0125.nii.gz,PROSTATEx/anatomy/ProstateX-0125.nii.gz
ProstateX-0158,PROSTATEx/images/ProstateX-0158.nii.gz,PROSTATEx/anatomy/ProstateX-0158.nii.gz
ProstateX-0123,PROSTATEx/images/ProstateX-0123.nii.gz,PROSTATEx/anatomy/ProstateX-0123.nii.gz
ProstateX-0159,PROSTATEx/images/ProstateX-0159.nii.gz,PROSTATEx/anatomy/ProstateX-0159.nii.gz
ProstateX-0025,PROSTATEx/images/ProstateX-0025.nii.gz,PROSTATEx/anatomy/ProstateX-0025.nii.gz
ProstateX-0023,PROSTATEx/images/ProstateX-0023.nii.gz,PROSTATEx/anatomy/ProstateX-0023.nii.gz
ProstateX-0154,PROSTATEx/images/ProstateX-0154.nii.gz,PROSTATEx/anatomy/ProstateX-0154.nii.gz
ProstateX-0150,PROSTATEx/images/ProstateX-0150.nii.gz,PROSTATEx/anatomy/ProstateX-0150.nii.gz
ProstateX-0081,PROSTATEx/images/ProstateX-0081.nii.gz,PROSTATEx/anatomy/ProstateX-0081.nii.gz
ProstateX-0039,PROSTATEx/images/ProstateX-0039.nii.gz,PROSTATEx/anatomy/ProstateX-0039.nii.gz
ProstateX-0171,PROSTATEx/images/ProstateX-0171.nii.gz,PROSTATEx/anatomy/ProstateX-0171.nii.gz
ProstateX-0047,PROSTATEx/images/ProstateX-0047.nii.gz,PROSTATEx/anatomy/ProstateX-0047.nii.gz
ProstateX-0094,PROSTATEx/images/ProstateX-0094.nii.gz,PROSTATEx/anatomy/ProstateX-0094.nii.gz
ProstateX-0182,PROSTATEx/images/ProstateX-0182.nii.gz,PROSTATEx/anatomy/ProstateX-0182.nii.gz
ProstateX-0043,PROSTATEx/images/ProstateX-0043.nii.gz,PROSTATEx/anatomy/ProstateX-0043.nii.gz
ProstateX-0141,PROSTATEx/images/ProstateX-0141.nii.gz,PROSTATEx/anatomy/ProstateX-0141.nii.gz
ProstateX-0003,PROSTATEx/images/ProstateX-0003.nii.gz,PROSTATEx/anatomy/ProstateX-0003.nii.gz
ProstateX-0105,PROSTATEx/images/ProstateX-0105.nii.gz,PROSTATEx/anatomy/ProstateX-0105.nii.gz
ProstateX-0053,PROSTATEx/images/ProstateX-0053.nii.gz,PROSTATEx/anatomy/ProstateX-0053.nii.gz
ProstateX-0133,PROSTATEx/images/ProstateX-0133.nii.gz,PROSTATEx/anatomy/ProstateX-0133.nii.gz
ProstateX-0184,PROSTATEx/images/ProstateX-0184.nii.gz,PROSTATEx/anatomy/ProstateX-0184.nii.gz
ProstateX-0178,PROSTATEx/images/ProstateX-0178.nii.gz,PROSTATEx/anatomy/ProstateX-0178.nii.gz
ProstateX-0189,PROSTATEx/images/ProstateX-0189.nii.gz,PROSTATEx/anatomy/ProstateX-0189.nii.gz
ProstateX-0049,PROSTATEx/images/ProstateX-0049.nii.gz,PROSTATEx/anatomy/ProstateX-0049.nii.gz
ProstateX-0080,PROSTATEx/images/ProstateX-0080.nii.gz,PROSTATEx/anatomy/ProstateX-0080.nii.gz
ProstateX-0034,PROSTATEx/images/ProstateX-0034.nii.gz,PROSTATEx/anatomy/ProstateX-0034.nii.gz
ProstateX-0007,PROSTATEx/images/ProstateX-0007.nii.gz,PROSTATEx/anatomy/ProstateX-0007.nii.gz
ProstateX-0110,PROSTATEx/images/ProstateX-0110.nii.gz,PROSTATEx/anatomy/ProstateX-0110.nii.gz
ProstateX-0091,PROSTATEx/images/ProstateX-0091.nii.gz,PROSTATEx/anatomy/ProstateX-0091.nii.gz
ProstateX-0083,PROSTATEx/images/ProstateX-0083.nii.gz,PROSTATEx/anatomy/ProstateX-0083.nii.gz
ProstateX-0180,PROSTATEx/images/ProstateX-0180.nii.gz,PROSTATEx/anatomy/ProstateX-0180.nii.gz
ProstateX-0185,PROSTATEx/images/ProstateX-0185.nii.gz,PROSTATEx/anatomy/ProstateX-0185.nii.gz
ProstateX-0089,PROSTATEx/images/ProstateX-0089.nii.gz,PROSTATEx/anatomy/ProstateX-0089.nii.gz
ProstateX-0008,PROSTATEx/images/ProstateX-0008.nii.gz,PROSTATEx/anatomy/ProstateX-0008.nii.gz
ProstateX-0013,PROSTATEx/images/ProstateX-0013.nii.gz,PROSTATEx/anatomy/ProstateX-0013.nii.gz
ProstateX-0059,PROSTATEx/images/ProstateX-0059.nii.gz,PROSTATEx/anatomy/ProstateX-0059.nii.gz
ProstateX-0175,PROSTATEx/images/ProstateX-0175.nii.gz,PROSTATEx/anatomy/ProstateX-0175.nii.gz
ProstateX-0131,PROSTATEx/images/ProstateX-0131.nii.gz,PROSTATEx/anatomy/ProstateX-0131.nii.gz
ProstateX-0017,PROSTATEx/images/ProstateX-0017.nii.gz,PROSTATEx/anatomy/ProstateX-0017.nii.gz
ProstateX-0072,PROSTATEx/images/ProstateX-0072.nii.gz,PROSTATEx/anatomy/ProstateX-0072.nii.gz
ProstateX-0202,PROSTATEx/images/ProstateX-0202.nii.gz,PROSTATEx/anatomy/ProstateX-0202.nii.gz
ProstateX-0134,PROSTATEx/images/ProstateX-0134.nii.gz,PROSTATEx/anatomy/ProstateX-0134.nii.gz
ProstateX-0170,PROSTATEx/images/ProstateX-0170.nii.gz,PROSTATEx/anatomy/ProstateX-0170.nii.gz
ProstateX-0187,PROSTATEx/images/ProstateX-0187.nii.gz,PROSTATEx/anatomy/ProstateX-0187.nii.gz
ProstateX-0063,PROSTATEx/images/ProstateX-0063.nii.gz,PROSTATEx/anatomy/ProstateX-0063.nii.gz
ProstateX-0054,PROSTATEx/images/ProstateX-0054.nii.gz,PROSTATEx/anatomy/ProstateX-0054.nii.gz
ProstateX-0107,PROSTATEx/images/ProstateX-0107.nii.gz,PROSTATEx/anatomy/ProstateX-0107.nii.gz
ProstateX-0050,PROSTATEx/images/ProstateX-0050.nii.gz,PROSTATEx/anatomy/ProstateX-0050.nii.gz
ProstateX-0200,PROSTATEx/images/ProstateX-0200.nii.gz,PROSTATEx/anatomy/ProstateX-0200.nii.gz
ProstateX-0169,PROSTATEx/images/ProstateX-0169.nii.gz,PROSTATEx/anatomy/ProstateX-0169.nii.gz
ProstateX-0058,PROSTATEx/images/ProstateX-0058.nii.gz,PROSTATEx/anatomy/ProstateX-0058.nii.gz
ProstateX-0048,PROSTATEx/images/ProstateX-0048.nii.gz,PROSTATEx/anatomy/ProstateX-0048.nii.gz
ProstateX-0088,PROSTATEx/images/ProstateX-0088.nii.gz,PROSTATEx/anatomy/ProstateX-0088.nii.gz
ProstateX-0021,PROSTATEx/images/ProstateX-0021.nii.gz,PROSTATEx/anatomy/ProstateX-0021.nii.gz
ProstateX-0057,PROSTATEx/images/ProstateX-0057.nii.gz,PROSTATEx/anatomy/ProstateX-0057.nii.gz
ProstateX-0160,PROSTATEx/images/ProstateX-0160.nii.gz,PROSTATEx/anatomy/ProstateX-0160.nii.gz
ProstateX-0196,PROSTATEx/images/ProstateX-0196.nii.gz,PROSTATEx/anatomy/ProstateX-0196.nii.gz
ProstateX-0129,PROSTATEx/images/ProstateX-0129.nii.gz,PROSTATEx/anatomy/ProstateX-0129.nii.gz
ProstateX-0037,PROSTATEx/images/ProstateX-0037.nii.gz,PROSTATEx/anatomy/ProstateX-0037.nii.gz
ProstateX-0157,PROSTATEx/images/ProstateX-0157.nii.gz,PROSTATEx/anatomy/ProstateX-0157.nii.gz
ProstateX-0192,PROSTATEx/images/ProstateX-0192.nii.gz,PROSTATEx/anatomy/ProstateX-0192.nii.gz
ProstateX-0001,PROSTATEx/images/ProstateX-0001.nii.gz,PROSTATEx/anatomy/ProstateX-0001.nii.gz
ProstateX-0052,PROSTATEx/images/ProstateX-0052.nii.gz,PROSTATEx/anatomy/ProstateX-0052.nii.gz
ProstateX-0149,PROSTATEx/images/ProstateX-0149.nii.gz,PROSTATEx/anatomy/ProstateX-0149.nii.gz
ProstateX-0130,PROSTATEx/images/ProstateX-0130.nii.gz,PROSTATEx/anatomy/ProstateX-0130.nii.gz
ProstateX-0151,PROSTATEx/images/ProstateX-0151.nii.gz,PROSTATEx/anatomy/ProstateX-0151.nii.gz
ProstateX-0103,PROSTATEx/images/ProstateX-0103.nii.gz,PROSTATEx/anatomy/ProstateX-0103.nii.gz
ProstateX-0099,PROSTATEx/images/ProstateX-0099.nii.gz,PROSTATEx/anatomy/ProstateX-0099.nii.gz
ProstateX-0116,PROSTATEx/images/ProstateX-0116.nii.gz,PROSTATEx/anatomy/ProstateX-0116.nii.gz
ProstateX-0087,PROSTATEx/images/ProstateX-0087.nii.gz,PROSTATEx/anatomy/ProstateX-0087.nii.gz
ProstateX-0074,PROSTATEx/images/ProstateX-0074.nii.gz,PROSTATEx/anatomy/ProstateX-0074.nii.gz
ProstateX-0121,PROSTATEx/images/ProstateX-0121.nii.gz,PROSTATEx/anatomy/ProstateX-0121.nii.gz
ProstateX-0203,PROSTATEx/images/ProstateX-0203.nii.gz,PROSTATEx/anatomy/ProstateX-0203.nii.gz
ProstateX-0020,PROSTATEx/images/ProstateX-0020.nii.gz,PROSTATEx/anatomy/ProstateX-0020.nii.gz
ProstateX-0188,PROSTATEx/images/ProstateX-0188.nii.gz,PROSTATEx/anatomy/ProstateX-0188.nii.gz
ProstateX-0071,PROSTATEx/images/ProstateX-0071.nii.gz,PROSTATEx/anatomy/ProstateX-0071.nii.gz
ProstateX-0106,PROSTATEx/images/ProstateX-0106.nii.gz,PROSTATEx/anatomy/ProstateX-0106.nii.gz
ProstateX-0014,PROSTATEx/images/ProstateX-0014.nii.gz,PROSTATEx/anatomy/ProstateX-0014.nii.gz
ProstateX-0092,PROSTATEx/images/ProstateX-0092.nii.gz,PROSTATEx/anatomy/ProstateX-0092.nii.gz
ProstateX-0179,PROSTATEx/images/ProstateX-0179.nii.gz,PROSTATEx/anatomy/ProstateX-0179.nii.gz
ProstateX-0102,PROSTATEx/images/ProstateX-0102.nii.gz,PROSTATEx/anatomy/ProstateX-0102.nii.gz
